phase,policy,control,query_position,target_index,condition_source_index,greedy_token_decoded,greedy_rdkit_valid,greedy_policy_accepted,raw_non_greedy_draws,raw_token_decoded,raw_rdkit_valid,raw_policy_accepted,unique_policy_accepted_non_greedy,retained_unique_candidate_count
development,beam64_lp00,correct_embedding,0,206298,206298,1.0,1.0,1.0,64,64,17,17,12,13
development,beam64_lp00,correct_embedding,1,209923,209923,1.0,1.0,1.0,64,64,23,23,17,18
development,beam64_lp00,correct_embedding,2,594249,594249,1.0,1.0,1.0,64,64,25,25,21,22
development,beam64_lp00,correct_embedding,3,304846,304846,1.0,1.0,1.0,64,64,50,50,47,48
development,beam64_lp00,correct_embedding,4,819085,819085,1.0,1.0,1.0,64,64,49,49,37,38
development,beam64_lp00,correct_embedding,5,938326,938326,1.0,1.0,1.0,64,64,32,32,24,25
development,beam64_lp00,correct_embedding,6,377200,377200,1.0,1.0,1.0,64,64,19,19,13,14
development,beam64_lp00,correct_embedding,7,199199,199199,1.0,1.0,1.0,64,64,58,58,55,50
development,beam64_lp00,correct_embedding,8,399515,399515,1.0,1.0,1.0,64,64,45,45,40,41
development,beam64_lp00,correct_embedding,9,102569,102569,1.0,1.0,1.0,64,64,26,26,23,24
development,beam64_lp00,correct_embedding,10,796064,796064,1.0,1.0,1.0,64,64,31,31,23,24
development,beam64_lp00,correct_embedding,11,106838,106838,1.0,1.0,1.0,64,64,53,53,41,42
development,beam64_lp00,correct_embedding,12,221231,221231,1.0,1.0,1.0,64,64,44,44,39,40
development,beam64_lp00,correct_embedding,13,796049,796049,1.0,1.0,1.0,64,64,39,39,34,35
development,beam64_lp00,correct_embedding,14,724096,724096,1.0,1.0,1.0,64,64,58,58,52,50
development,beam64_lp00,correct_embedding,15,734182,734182,1.0,1.0,1.0,64,64,25,25,17,18
development,beam64_lp00,correct_embedding,16,721374,721374,1.0,1.0,1.0,64,64,57,57,52,50
development,beam64_lp00,correct_embedding,17,721352,721352,1.0,1.0,1.0,64,64,44,44,35,36
development,beam64_lp00,correct_embedding,18,852085,852085,1.0,1.0,1.0,64,64,22,22,18,19
development,beam64_lp00,correct_embedding,19,453812,453812,1.0,1.0,1.0,64,64,55,55,44,45
development,beam64_lp00,correct_embedding,20,362122,362122,1.0,1.0,1.0,64,64,32,32,26,27
development,beam64_lp00,correct_embedding,21,179612,179612,1.0,1.0,1.0,64,64,12,12,8,9
development,beam64_lp00,correct_embedding,22,369368,369368,1.0,1.0,1.0,64,64,27,27,21,22
development,beam64_lp00,correct_embedding,23,164836,164836,1.0,1.0,1.0,64,64,24,24,21,22
development,beam64_lp00,correct_embedding,24,6437,6437,1.0,1.0,1.0,64,64,62,62,57,50
development,beam64_lp00,correct_embedding,25,874399,874399,1.0,1.0,1.0,64,64,52,52,45,46
development,beam64_lp00,correct_embedding,26,908355,908355,1.0,1.0,1.0,64,64,47,47,44,45
development,beam64_lp00,correct_embedding,27,92689,92689,1.0,1.0,1.0,64,64,31,31,27,28
development,beam64_lp00,correct_embedding,28,567296,567296,1.0,1.0,1.0,64,64,29,29,22,23
