phase,policy,control,query_position,target_index,condition_source_index,greedy_token_decoded,greedy_rdkit_valid,greedy_policy_accepted,raw_non_greedy_draws,raw_token_decoded,raw_rdkit_valid,raw_policy_accepted,unique_policy_accepted_non_greedy,retained_unique_candidate_count
final,beam64_lp00,correct_embedding,0,13433,13433,1.0,1.0,1.0,64,64,45,45,42,43
final,beam64_lp00,correct_embedding,1,48969,48969,1.0,1.0,1.0,64,64,58,58,51,50
final,beam64_lp00,correct_embedding,2,47189,47189,1.0,1.0,1.0,64,64,41,41,40,41
final,beam64_lp00,correct_embedding,3,12639,12639,1.0,1.0,1.0,64,64,29,29,27,28
final,beam64_lp00,correct_embedding,4,4119,4119,1.0,1.0,1.0,64,64,40,40,26,27
final,beam64_lp00,correct_embedding,5,12470,12470,1.0,1.0,1.0,64,64,55,55,44,45
final,beam64_lp00,correct_embedding,6,5195,5195,1.0,1.0,1.0,64,64,58,58,56,50
final,beam64_lp00,correct_embedding,7,29089,29089,1.0,1.0,1.0,64,64,45,45,42,43
final,beam64_lp00,correct_embedding,8,44885,44885,1.0,1.0,1.0,64,64,48,48,28,29
final,beam64_lp00,correct_embedding,9,10344,10344,1.0,0.0,0.0,64,64,5,5,5,5
final,beam64_lp00,correct_embedding,10,43076,43076,1.0,1.0,1.0,64,64,31,31,29,30
final,beam64_lp00,correct_embedding,11,18258,18258,1.0,1.0,1.0,64,64,46,46,39,40
final,beam64_lp00,correct_embedding,12,885,885,1.0,1.0,1.0,64,64,47,47,42,43
final,beam64_lp00,correct_embedding,13,41967,41967,1.0,1.0,1.0,64,64,33,33,27,28
final,beam64_lp00,correct_embedding,14,36542,36542,1.0,1.0,1.0,64,64,59,59,50,50
final,beam64_lp00,correct_embedding,15,31907,31907,1.0,1.0,1.0,64,64,38,38,33,34
final,beam64_lp00,correct_embedding,16,39358,39358,1.0,1.0,1.0,64,64,59,59,54,50
final,beam64_lp00,correct_embedding,17,40434,40434,1.0,1.0,1.0,64,64,43,43,35,36
final,beam64_lp00,correct_embedding,18,47191,47191,1.0,1.0,1.0,64,64,34,34,32,33
final,beam64_lp00,correct_embedding,19,27735,27735,1.0,1.0,1.0,64,64,24,24,16,17
final,beam64_lp00,correct_embedding,20,47456,47456,1.0,1.0,1.0,64,64,61,61,52,50
final,beam64_lp00,correct_embedding,21,29593,29593,1.0,1.0,1.0,64,64,46,46,37,38
final,beam64_lp00,correct_embedding,22,17218,17218,1.0,1.0,1.0,64,64,21,21,14,15
final,beam64_lp00,correct_embedding,23,12673,12673,1.0,1.0,1.0,64,64,34,34,30,31
final,beam64_lp00,correct_embedding,24,31354,31354,1.0,1.0,1.0,64,64,35,35,25,26
final,beam64_lp00,correct_embedding,25,47370,47370,1.0,1.0,1.0,64,64,28,28,24,25
final,beam64_lp00,correct_embedding,26,16412,16412,1.0,1.0,1.0,64,64,58,58,54,50
final,beam64_lp00,correct_embedding,27,4254,4254,1.0,1.0,1.0,64,64,38,38,33,34
final,beam64_lp00,correct_embedding,28,30368,30368,1.0,1.0,1.0,64,64,32,32,29,30
final,beam64_lp00,correct_embedding,29,707,707,1.0,1.0,1.0,64,64,59,59,55,50
final,beam64_lp00,correct_embedding,30,4872,4872,1.0,0.0,0.0,64,64,28,28,28,28
final,beam64_lp00,correct_embedding,31,17403,17403,1.0,1.0,1.0,64,64,28,28,24,25
final,beam64_lp00,correct_embedding,32,4224,4224,1.0,1.0,1.0,64,64,29,29,24,25
final,beam64_lp00,correct_embedding,33,36642,36642,1.0,1.0,1.0,64,64,55,55,53,50
final,beam64_lp00,correct_embedding,34,20626,20626,1.0,1.0,1.0,64,64,63,63,52,50
final,beam64_lp00,correct_embedding,35,44431,44431,1.0,1.0,1.0,64,64,56,56,46,47
final,beam64_lp00,correct_embedding,36,43430,43430,1.0,1.0,1.0,64,64,52,52,36,37
final,beam64_lp00,correct_embedding,37,11617,11617,1.0,1.0,1.0,64,64,57,57,54,50
final,beam64_lp00,correct_embedding,38,9474,9474,1.0,1.0,1.0,64,64,61,61,58,50
final,beam64_lp00,correct_embedding,39,25417,25417,1.0,1.0,1.0,64,64,44,44,40,41
final,beam64_lp00,correct_embedding,40,5420,5420,1.0,1.0,1.0,64,64,24,24,17,18
final,beam64_lp00,correct_embedding,41,27733,27733,1.0,1.0,1.0,64,64,34,34,27,28
